,tonalidad,tonalidad_escala,scale_coverage,mayor_chord_coverage,minor_chord_coverage,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,avr_vertical_notes,cant_eventos_por_pedal,cant_pedales_seg,duracion_seg,tracks_used,cant_grupos,info_tracks,midi_info,compositor,file_name,instrument_track,note_num_mean,note_num_std,note_num_min,note_num_25%,note_num_50%,note_num_75%,note_num_max,Octave_mean,Octave_std,Octave_min,Octave_25%,Octave_50%,Octave_75%,Octave_max,start_mean,start_std,start_min,start_25%,start_50%,start_75%,start_max,duration_mean,duration_std,duration_min,duration_25%,duration_50%,duration_75%,duration_max,f,mf,m,ff,p,pp,xxs,s,xs,xl,l
0,A,M,94.23,54.58,43.160000000000004,19.92,19.55,15.11,13.04,9.72,8.76,8.13,0.7033596334945279,30.44216787838731,0.36614455192270573,635.7304227166791,13,447,0 1 2 3 4 5 6 7 8 9 10 11 12,"<midi file 'C:\\DH\\ds_blend_students_2020\\desafio IV\\MIDI folders\\Greats\\Greats\\Classical Archives - The Greats (MIDI)\\Mozart\\Piano Concertos\\Piano Concerto n12 K414 1mov.mid' type 1, 13 tracks, 17316 messages>",Mozart,Piano Concerto n12 K414 1mov.mid,"['2-68', '3-60', '4-0', '5-0', '6-0', '7-48', '8-48', '9-48', '10-48', '11-43', '12-45', '13-45']",65.90574874136517,12.00730226560144,29.0,57.0,68.0,75.0,88.0,5.004214963119073,1.0444370457544239,2.0,4.0,5.0,6.0,7.0,329062.07938180544,194002.40804918914,1920.0,157200.0,331920.0,513120.0,654240.0,252.85821332396674,227.2714378776636,60.0,96.0,156.0,312.0,960.0,0.48511071519470605,0.3690506490201069,0.002799694578773225,0.05968439806566556,0.00025451768897938407,0.00012725884448969204,0.668617968948842,0.1740900992618987,0.15449223721048613,0.0,0.0
1,A,M,92.75000000000001,57.16,46.220000000000006,23.54,19.74,13.88,12.19,9.01,8.8,5.59,0.6435351191731702,11.645954156310411,0.9059290431532311,399.70017821666585,10,140,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"<midi file 'C:\\DH\\ds_blend_students_2020\\desafio IV\\MIDI folders\\Greats\\Greats\\Classical Archives - The Greats (MIDI)\\Mozart\\Piano Concertos\\Piano Concerto n12 K414 3mov.mid' type 1, 14 tracks, 10689 messages>",Mozart,Piano Concerto n12 K414 3mov.mid,"['2-68', '3-68', '4-60', '5-0', '6-0', '7-0', '8-48', '9-48', '10-48', '11-48', '12-43', '13-45', '14-45']",67.31891271056662,11.135637831342072,26.0,61.0,69.0,76.0,89.0,5.119448698315467,0.949567251542623,2.0,5.0,5.0,6.0,7.0,123726.16730474732,68983.77562134742,1440.0,69120.0,128640.0,176640.0,242880.0,132.01378254211332,101.94036974081617,30.0,60.0,96.0,192.0,384.0,0.28896857203121706,0.3581522885467201,0.12782113478169163,0.0025311115798354778,0.001054629824931449,0.0,0.4534908247205231,0.1242353933769247,0.29445264712086056,0.0,0.0
2,D#,M,89.8,47.58,40.72,19.34,15.07,13.99,13.17,12.48,8.04,7.71,0.6642228739002932,23.0120952009364,0.5639332551977223,454.4864088749969,10,89,0 Oboe1 Trompa Mi-b2 Piano agudo3 Piano grave4 Violin 15 Violin 26 Viola7 Violonchelo8 Contrabajo9,"<midi file 'C:\\DH\\ds_blend_students_2020\\desafio IV\\MIDI folders\\Greats\\Greats\\Classical Archives - The Greats (MIDI)\\Mozart\\Piano Concertos\\Piano Concerto n14 K449 1mov.mid' type 1, 10 tracks, 17746 messages>",Mozart,Piano Concerto n14 K449 1mov.mid,"['2-68', '3-60', '4-0', '5-0', '6-48', '6-48', '7-48', '7-48', '8-48', '9-48', '10-43']",63.442842430484035,12.111673289387051,27.0,56.0,65.0,72.0,89.0,4.832818400274631,1.0752606013497255,2.0,4.0,5.0,6.0,7.0,85209.04588625701,61507.4922294976,0.0,33116.0,75740.0,124824.0,200348.0,82.72960292939696,52.19292263549146,32.0,46.0,48.0,96.0,192.0,0.398533724340176,0.2469208211143695,0.0,0.1343108504398827,0.15806451612903225,0.0,0.6859237536656891,0.31055718475073313,0.0035190615835777126,0.0,0.0
3,A#,M,86.31,42.74,39.83,18.09,14.29,12.63,12.02,11.68,9.72,7.88,0.5880135695439126,6.697067354173381,0.8807360098782431,391.465517374998,9,23,0 Oboe1 Trompa Mi-b2 Piano agudo3 Piano grave4 Violin 15 Violin 26 Viola7 Violonchelo8 Contrabajo9,"<midi file 'C:\\DH\\ds_blend_students_2020\\desafio IV\\MIDI folders\\Greats\\Greats\\Classical Archives - The Greats (MIDI)\\Mozart\\Piano Concertos\\Piano Concerto n14 K449 2mov.mid' type 1, 10 tracks, 6659 messages>",Mozart,Piano Concerto n14 K449 2mov.mid,"['2-68', '3-60', '4-0', '5-0', '6-48', '7-48', '8-48', '9-48', '10-43']",63.5859226379201,11.62031772389044,27.0,57.0,65.0,72.0,89.0,4.863665187064045,1.0358888267636377,2.0,4.0,5.0,6.0,7.0,21895.906785034877,13250.947574547437,0.0,8792.0,22481.0,31323.0,47662.0,68.56309448319594,55.50090773437518,12.0,24.0,48.0,94.0,192.0,0.19449679607990952,0.1820580474934037,0.004523181304183943,0.1534112325669054,0.36977007161703734,0.0003769317753486619,0.47493403693931396,0.2570674707877874,0.2634753109687147,0.0,0.0
4,D#,M,88.43,47.900000000000006,36.489999999999995,21.05,14.69,13.44,12.16,10.23,9.64,7.22,0.821927624507345,18.72598001537279,0.7401533710198316,351.54876028123664,10,122,0 Oboe1 Trompa Mi-b2 Piano agudo3 Piano grave4 Violin 15 Violin 26 Viola7 Violonchelo8 Contrabajo9,"<midi file 'C:\\DH\\ds_blend_students_2020\\desafio IV\\MIDI folders\\Greats\\Greats\\Classical Archives - The Greats (MIDI)\\Mozart\\Piano Concertos\\Piano Concerto n14 K449 3mov.mid' type 1, 10 tracks, 13476 messages>",Mozart,Piano Concerto n14 K449 3mov.mid,"['2-68', '3-60', '4-0', '5-0', '6-48', '7-48', '8-48', '9-48', '10-43']",63.51635297747609,12.17064015596361,27.0,57.0,65.0,72.0,89.0,4.821505708114779,1.062212474454628,2.0,4.0,5.0,6.0,7.0,123118.33569885838,68544.42617288503,42.0,63018.0,125514.0,178506.0,236874.0,142.3335390311632,95.59681291014125,48.0,94.0,96.0,160.0,384.0,0.23969903260480116,0.10802579720530275,0.012719455392332497,0.3335721963453959,0.21139376567538518,0.00017914725904693657,0.7282336080257972,0.05034037979218918,0.2087065567896811,0.0,0.0
